ID	Grupo	Año	Dia_Juliano	Fecha_Nacimiento	Eje	Ley	Residuo	Funcion_Vectorial_VRIL
0	Centro_Arbol	1988	35	04/02/88	V1	L1	62	Vector Fundador: Voluntad divina en su estado más puro. SOPHIA como punto cero.
1	Eje_Norte_Guadalajara	1855	13	13/01/1855	V2	L2	75	Vector de Frontera: Codifica el intercambio entre sistemas en su estado inicial.
2	Eje_Norte_Guadalajara	1856	26	26/01/1856	V3	L3	88	Vector de Construcción: Codifica la materialización de la voluntad en estructura física.
3	Eje_Norte_Guadalajara	1857	39	08/02/1857	V4	L4	101	Vector de Código: Codifica la memoria heredada como patrón de comportamiento.
4	Eje_Norte_Guadalajara	1858	52	21/02/1858	V5	L5	114	Vector de Conteo: Codifica la primera segmentación demográfica como base de organización.
5	Eje_Norte_Guadalajara	1859	65	06/03/1859	V6	L6	127	Vector de Verificación: Codifica el equilibrio inicial del sistema como base de justicia.
6	Eje_Norte_Guadalajara	1860	78	19/03/1860	V7	L7	140	Vector de Patrón: Codifica el ritmo atmosférico primigenio como base de ciclo.
7	Eje_Norte_Guadalajara	1861	91	01/04/1861	V8	L8	153	Vector de Estructura: Codifica el primer orden político como base de autoridad.
8	Eje_Norte_Guadalajara	1862	104	14/04/1862	V9	L9	166	Vector de Mente: Codifica el despertar de la conciencia colectiva como base de sociedad.
9	Eje_Norte_Guadalajara	1863	117	27/04/1863	V10	L10	179	Vector de Flujo: Codifica la circulación de recursos como base de intercambio.
10	Eje_Norte_Guadalajara	1864	130	10/05/1864	V11	L11	192	Vector de Sanación: Codifica la primera respuesta de salud como base de bienestar.
11	Eje_Norte_Guadalajara	1865	143	23/05/1865	V12	L12	205	Vector de Reloj: Codifica la primera observación de los ciclos mayores como base de tiempo.
12	Eje_Norte_Guadalajara	1866	156	05/06/1866	V13	L13	218	Vector de Entropía: Codifica el calor acumulado del sistema como base de cambio.
13	Eje_Norte_Guadalajara	1867	169	18/06/1867	V14	L14	231	Vector de Memoria: Codifica la primera capa de registro histórico como base de identidad.
14	Eje_Norte_Guadalajara	1868	182	01/07/1868	V15	L15	244	Vector de Diversidad: Codifica la primera expresión de diferencia cultural como base de riqueza.
15	Eje_Norte_Guadalajara	1869	195	14/07/1869	V16	L16	257	Vector de Red: Codifica el primer impulso de conexión global como base de comunicación.
16	Eje_Norte_Guadalajara	1870	208	27/07/1870	V1	L17	270	Vector de Materia: Codifica la segunda capa de manifestación material.
17	Eje_Norte_Guadalajara	1871	221	09/08/1871	V2	L18	283	Vector de Intercambio: Codifica la segunda capa de flujo entre sistemas.
18	Eje_Norte_Guadalajara	1872	234	22/08/1872	V3	L19	296	Vector de Fuerza: Codifica la segunda capa de construcción física.
19	Eje_Norte_Guadalajara	1873	247	04/09/1873	V4	L20	309	Vector de Herencia: Codifica la segunda capa de código genético.
20	Eje_Norte_Guadalajara	1874	260	17/09/1874	V5	L21	322	Vector de Estadística: Codifica la segunda capa de conteo demográfico.
21	Eje_Norte_Guadalajara	1875	273	30/09/1875	V6	L22	335	Vector de Justicia: Codifica la segunda capa de verificación.
22	Eje_Norte_Guadalajara	1876	286	13/10/1876	V7	L23	348	Vector de Clima: Codifica la segunda capa de patrón atmosférico.
23	Eje_Norte_Guadalajara	1877	299	26/10/1877	V8	L24	361	Vector de Gobierno: Codifica la segunda capa de estructura política.
24	Eje_Norte_Guadalajara	1878	312	08/11/1878	V9	L25	10	Vector de Sociedad: Codifica la segunda capa de psicología colectiva.
25	Eje_Norte_Guadalajara	1879	325	21/11/1879	V10	L26	23	Vector de Logística: Codifica la segunda capa de flujo energético.
26	Eje_Norte_Guadalajara	1880	338	04/12/1880	V11	L27	36	Vector de Salud: Codifica la segunda capa de sanación.
